shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
BREWER_S,44.77796,-68.737,190,
BREWER_S,44.78438,-68.75212,200,
BREWER_S,44.78472,-68.75275,202,
BREWER_S,44.78374,-68.75393,206,
BREWER_S,44.78165,-68.75342,212,
BREWER_S,44.7789,-68.76582,216,
BREWER_S,44.7785,-68.76719,218,
BREWER_S,44.77794,-68.76808,220,
BREWER_S,44.77736,-68.76868,224,
BREWER_S,44.77676,-68.76902,226,
BREWER_S,44.76731,-68.77335,232,
BREWER_S,44.76652,-68.77711,238,
BREWER_S,44.76653,-68.77771,240,
BREWER_S,44.76667,-68.77929,242,
BREWER_S,44.76678,-68.77972,246,
BREWER_S,44.76874,-68.78222,250,
BREWER_S,44.76935,-68.78129,254,
BREWER_S,44.76956,-68.78074,256,
BREWER_S,44.76966,-68.78036,260,
BREWER_S,44.76979,-68.78019,262,
BREWER_S,44.77002,-68.78011,266,
BREWER_S,44.77161,-68.78033,270,
BREWER_S,44.7719,-68.78036,272,
BREWER_S,44.77214,-68.78032,274,
BREWER_S,44.77535,-68.77908,280,
BREWER_S,44.77595,-68.77875,282,
BREWER_S,44.77874,-68.77679,288,
BREWER_S,44.78074,-68.77517,290,
BREWER_S,44.78389,-68.77234,296,
BREWER_S,44.78477,-68.77161,300,
BREWER_S,44.78559,-68.77114,304,
BREWER_S,44.78862,-68.77034,308,
BREWER_S,44.79258,-68.76765,312,
BREWER_S,44.79449,-68.76636,316,
BREWER_S,44.79472,-68.76611,318,
BREWER_S,44.79636,-68.76834,324,
BREWER_S,44.79741,-68.76979,328,
BREWER_S,44.79817,-68.77137,332,
BREWER_S,44.79836,-68.77178,334,
BREWER_S,44.7985,-68.77178,336,
BREWER_S,44.79874,-68.77154,338,
BREWER_S,44.79881,-68.77139,340,
BREWER_S,44.79851,-68.77074,342,
BREWER_S,44.79868,-68.77062,350,
BREWER_S,44.79889,-68.77017,354,
BREWER_S,44.7995,-68.77039,358,
BREWER_S,44.79996,-68.77059,360,
